Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
MB-0002	0.0240288956163843	0.0698241503867298	0.0112967566882847	0.043917890293672	0	0.0862910410829929	0.0510161386365911	0.101153012268584	0	0.0581741417137691	0	0.0193731880146719	0.0306736749294999	0.0623870609099677	0.0756517086541431	0.148000199218577	0.0177327307544267	0.00496387193788764	0.195515538893818	0	0	0	0	0.525596813886627	0.86198533625735
MB-0005	0.0221867086875604	0.0345027006871471	0.0402601780946583	0.0401258358711568	0	0.154882896584964	0.00340640456129753	0.0559984377664877	0	0.00808654363421006	0.00389561579646038	0.0229732856476411	0.0563677010947493	0.0592823425382212	0.0495065406271818	0.174977628501231	0.00855131544093683	0.0380844933554787	0.175945243067451	0.0495839743773064	0	0.00138215366586114	0	0.678636616321392	0.78767437210664
MB-0014	0.00557944223105045	0.0305619215005537	0.0832866309134956	0.0791382155888676	0	0.142454493014457	0.0132944363107977	0.033396773690892	0	0.08201756283409	0	0.00564283587697142	0.0155234669461273	0.0331867571120299	0.0411952630431975	0.196619925603211	0.015987758434175	0.00481464046804511	0.20896111029966	0	0.000695542714258535	0.00764322341812103	0	0.650619083576811	0.801647059100786
MB-0059	0.050336662080232	0.0037584200295091	0	0.0464169316247067	0	0.127353672200608	0.0136846788871822	0.0793812060747786	0.0206210042894991	0.00080714939809747	0.0339106634563527	0	0.020340233601971	0.152845526272412	0.0727339293901871	0.222580154567066	0	0	0.131563789626044	0.0236659785013539	0	0	0	0.673536044312387	0.784662978783076
MB-0060	0	0.0137023906050286	0.0129935229136838	0.176463090292045	0	0	0.0471548433287603	0.0953018708897015	0.0174977848223742	0.00709787476638116	0.0167778933882988	0.0755933276555312	0.0369144774849209	0.178979603387478	0.117114120698473	0.14181366192083	0	0.00101239126294913	0.0615831465835448	0	0	0	0	0.502803682964384	0.865274550335812
MB-0064	0.0117661553275746	0.0224400572437733	0.0116684047688977	0	0	0.154637886360923	0.0042670077331137	0.0753481145373079	0	0.0561996949456933	0	0.0324118974761252	0.0307436973781723	0.0205871769676872	0.0598127854826546	0.305817072989343	0.0170003531325722	0.0047983561078567	0.150219187996451	0.0141531495963382	0.0281290019555159	0	0	0.512291454213908	0.865789094652409
MB-0081	0	0.0258336892541762	0.0531313175263765	0.0791893662700918	0	0.120831745935658	0.0707146300300265	0.0343608770625616	0	0.243108100685534	0	0.0392647426444569	0	0.015703064871859	0.0983619538427537	0.0945687461137857	0.0155968434149334	0	0.102827092191416	0	0.0065078301563707	0	0	0.564700795345805	0.829543542405839
MB-0095	0.010375842135912	0.0652812587341298	0.0135371631970901	0.0499089693867266	0	0.0832296151335097	0	0.0759110037858414	0.00313165801673726	0.0225720240591526	0.000639777697385549	0.0332752406964768	0.0682957360745589	0.0520356313672886	0.0297636485430958	0.357280983854063	0.00179529164356341	0.00269069661699792	0.0700095117812489	0.0558200345047569	0	0.00444591277146507	0	0.581836414111943	0.82922650207317
MB-0102	0.0428414988629237	0.00886677189890019	0.129163136092585	0.0783229405326781	0	0.137893720464829	0.0283348195928012	0.0546520203288937	0	0.0726315785476147	0	0.0319007757514011	0.0336177892815737	0.0257142073838292	0.110343940558105	0.0794065197394012	0.00663235184472623	0.0216758935858286	0.138002035533908	0	0	0	0	0.708705098616328	0.761022922751781
MB-0109	0.00159731777510588	0.0204013807143623	0.153570821598101	0.119481544490713	0	0	0.144476003595542	0.0657829787541851	0	0.107549991309288	0	0.0189153934783175	0.0130502789889587	0.0713360295425935	0.0802688795891905	0.145344119145959	0.00456082071719185	0	0.0513499060142964	0	0	0.00231453428619464	0	0.722892426648737	0.754629765657686
MB-0114	0.017824167471891	0.0740785410256104	0.0238629461215405	0.0723765957729641	0	0.0596704834194786	0	0.181236699680879	0	0.0434783255619207	5.09183882723408e-05	0.026986153498954	0.0229976874596014	0.10584249037532	0.0611444356004968	0.198426375522504	0.00476228263465827	0.00685881348987899	0.0511258923377947	0.0492771916382351	0	0	0	0.471536995895978	0.883732527347525
MB-0124	0	0.152039440106901	0.065089633711873	0.067743866594774	0	0.10315279542445	0.010456792115472	0.0897092092364772	0	0.0585115905643409	0	0.0363831006425461	0.0205746555988934	0.0650819741001221	0.0478544288397476	0.143268400928792	0.00657559644655465	0	0.132250722506204	0.00130779318285177	0	0	0	0.69482791755319	0.778020939891232
MB-0125	0.0239216866811172	0.0361579747081732	0.0157619653306867	0.0421504128845178	0	0.0700972521332414	0	0.0782063333279706	0.00552214102442339	0.0114255657351748	0.0104168326022134	0.0284366649146335	0.0164225692240079	0.184206055049988	0.0342074083754616	0.278968820988686	0	0	0.140202652787571	0.023895664232133	0	0	0	0.539710935134695	0.848544338304703
