Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
MB-0010	0.0453584058850817	0	0.00162375989010275	0.0530062777184416	0	0.1217942127505	0	0.0599955417166772	0.00396576662567312	0.0605336102762391	0	0.0575755228969536	0.000266217010861763	0.205108424833274	0.0667142901868335	0.282287865786182	0	0	0.0302963638516378	0.00800439210025459	0	0.00346934847128674	0	0.73412709862322	0.731948274861859
MB-0056	0.00459374512211369	0.0291379549848043	0.0128333964248045	0.0312195066248431	0	0.106266925580443	0.00213820200972806	0.0644129583542191	0	0.0718624909917887	0	0.00622577503580168	0	0.166028226658654	0.056814616638136	0.329913730296845	0.0077750248291057	0	0.0891371723379922	0.0146398749754313	0.00181033650642377	0.00519006262886572	0	0.560715724782947	0.836314098913125
MB-0066	0.0142264653841867	0.0214909779294642	0.104591821621773	0.129761103183246	0	0.11853997442	0.0447272505037899	0.0684059601531779	0	0.0556687682472236	0	0.0389074530539978	0.0145197511258638	0.0380301504305722	0.102238220910516	0.147506827252308	0.010588499611781	0	0.0907967761721	0	0	0	0	0.670086229201334	0.784311385675707
MB-0068	0	0.0521025910240086	0.111949014579539	0.034287715006986	0	0.21300893345107	0	0.0394717927978778	0	0.0536692662741231	0	0.0237425702066547	0.0347109045038115	0.000219210569948962	0.0613568525207413	0.144508963899342	0.0137692962534645	0.00920051457360172	0.200464169082043	0	0	0.00753820525678766	0	0.567252511238294	0.840088395262635
MB-0106	0.0112070298163364	0.0597215645824496	0.0192817872299955	0.0787027762129545	0	0.0657192031571773	0	0.077002257654522	0.0403639950596543	0.0173750172216257	0	0.0468279010220874	0.0187935973064257	0.173512730216278	0.0471400337939068	0.238953008788707	0.0103901308840185	0	0.011501813094231	0.0756650494421584	0.00594896248681358	0.00189314203065845	0	0.482164182571024	0.876790956399303
MB-0107	0.0145366003519089	0.0133831050213499	0.0384295725582205	0.0535060025575253	0	0.126240160525169	0.00460435855843693	0.0501014995550681	0.0193221819779575	0	0.0265300591258492	0.0114723782259391	0.00372061307183014	0.167833102960573	0.0477771952878271	0.148392974789871	0	0.00413483096321291	0.259677257094075	0.0016509985960305	0	0.00868710877915536	0	0.490411705272027	0.874200996750013
MB-0111	0.022432595830866	0.0368170630145904	0.0151491600060532	0.0693984301827185	0	0.119167203798096	0.0014124231150865	0.0613249316181008	0.0133187881481063	0.0299726625354924	0.000309574009692286	0.0210890281917598	0.0266307520437052	0.0671087087522121	0.0425024835303736	0.171300043501	0.0274669346933388	0.00539532149766589	0.234143665629403	0.0337440683627577	0	0.00131616153898173	0	0.673383154191689	0.785159478564708
MB-0122	0.0243466552819162	0.058516644935835	0.0216358326113753	0.131168609978469	0	0.0935184316580776	0	0.0986913220833687	0.0129838439402875	0.0165030848927557	0.0106856262896932	0	0.0226427879961803	0.0383745948327368	0.0543229761128899	0.232021562073279	0.0128240045387522	0	0.10182673668235	0.0550313762661145	0.00708949140938063	0.00781641841653924	0	0.424331431384846	0.905241807032737
MB-0142	0.0117224544408126	0.0561990659911171	0.0191129653775872	0.0773866275882932	0	0.110594183248916	0	0.104856537830332	0.0021123327679636	0.0107266576942236	0.0037566934720447	0.0344650227242535	0.033098100975307	0.0607146765979821	0.0545536271933852	0.235601129590053	0.0058412986904403	0	0.154133106294547	0.0238741533281726	0	0.0012513661945688	0	0.443420522130665	0.897016690926182
MB-0144	0.00710034769132418	0.0422518991122771	0.00686407627032272	0.126098012851751	0	0.0982831754935019	0.00735324060114938	0.0792704389131461	0	0.101641384621638	0	0.0300060248569948	0.01423237644996	0.0939543056317054	0.0617908991854728	0.20728337780631	0.0014190482183794	0	0.0953386286911348	0.0271127636049316	0	0	0	0.78595150202661	0.71749236800307
MB-0145	0.0468779863051998	0.0186805783961101	0.0326471941028466	0.0713831055948697	0	0.272329384535534	0	0.0481918482850443	0	0.0215932382086549	0.0288354495911642	0	0.0151226182722155	0.0350319405976675	0.0555437032781356	0.161431455290098	0.00163526743284643	0.00675876513195304	0.169171132515357	0.0146898174679674	0	7.65149943370246e-05	0	0.510718410600852	0.865985190704859
MB-0166	0.0113314518627504	0.0654063367271793	0.0492592396048906	0.0590571076410323	0	0.0791318630766311	0.0259837716916473	0.0678616359178684	0.0367369969660382	0.0433749670277896	0.0564117790195862	0	0.0308023778155331	0.102803438643246	0.0701141759990618	0.193825807032391	0.00488280557197023	0	0.103016245402385	0	0	0	0	0.58546352027488	0.834647022083513
MB-0167	0.0530112694174788	0	0.0653494932616383	0.131643209294834	0	0.0043994382780183	0.0160124147367679	0.0715559956168768	0.0543619381093519	0.0315398370321425	0.00796871719796809	0.0248485711158651	0.0289999759739369	0.132250620980895	0.1141500929034	0.173195034216425	0.0102126652465145	0	0.0694736367309895	0.00749575030150343	0	0.00353133958539322	0	0.604073403780472	0.819108290001486
MB-0169	0.0151894833965824	0.0328624131306518	0.0574800051230969	0.116637632952606	0	0.1805165197389	0.00452944258673146	0.0514004045462948	0	0.00799289967364511	0.0363869912406964	0	0.0229767281353734	0.0384005568097251	0.0363354810814516	0.208813584780677	0.0170748255958112	0.00502084352290454	0.149632533518367	0.018749654166485	0	0	0	0.523847389745527	0.861942715290776
MB-0173	0	0.0649452593005217	0.123032607407151	0.0835615389057671	0	0.0309748480040297	0.017624555349518	0.0892360453220278	0.0109390394622174	0.0630892302372123	0	0.050203344454988	0.0168986050354034	0.00770306512467915	0.106655710516871	0.238033283977403	0.0110635346204533	0	0.0720050686645948	0.0101729907985956	0.00211936282094829	0.00174190999761827	0	0.724417496386183	0.752541559679495
