Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
MB-0006	0.0331916114206639	0.0168469264647981	0.0748803986618177	0.0344280653106441	0	0.188948627231477	0.014879236001801	0.0675650006436205	0	0.0614277301972522	0.0136979964927653	0.0107172185069102	0.0209351918772522	0.00646565821455847	0.0968239853584331	0.235324959666914	0.00910775748245288	0.00851543217789066	0.0877328939472145	0	0.0117550031945861	0.00675630714894785	0	0.626346010124901	0.812688622615664
MB-0008	0.0132330921461955	0.0369933294013678	0.0520829311536468	0.0719665108717325	0	0.0691437900363396	0	0.0581896129272604	0.0100324548221938	0.0800445512500475	0	0.0493858449703503	0.039459978918651	0.0590436619911932	0.0877390950004894	0.184134788435437	0.00710320680407651	0.00399226186110324	0.177454889409915	0	0	0	0	0.684332799375535	0.781200280317994
MB-0036	0.0480937586617592	0.00822508691106272	0.00695295701294038	0.0487872674021493	0	0.101903150172038	0	0.0885708569488334	0.0246986082228224	0.0320388854203118	0.0140467800016617	0.0315444117723556	0.0485224034635513	0.0222081430742704	0.0570879533507955	0.278970890700925	0.0765194614252636	0	0.0428172852630947	0.0627952767595509	0.00120711384141389	0.00500970959519963	0	0.485285736165195	0.87784726452099
MB-0039	0.0337128461047368	0.0061524499570588	0.00993935068708448	5.73718764042785e-05	0	0.130034123477885	0.00191537144957594	0.0807581294588028	0.0193152126185244	0.0615546199212784	0.0442446706704853	0	0.0228423958616292	0.0402956512034183	0.0679980935427885	0.21901479492796	0.00877224409715067	0.0170267564741091	0.231081929023385	0	0	0.00528398864772333	0	0.424128173253023	0.905182859628611
MB-0050	0.0410109323900676	0.032261945632962	0.104459087191371	0.137429212575207	0	0.167168064423689	0.000134580206853363	0.0877276783560882	0	0.0741418324785507	0	0	0.0240035153071727	0.00275951237622266	0.0499812378483458	0.176198559368522	0.0298068836500395	0.00527595334857713	0.0481102005674593	0.016475841456135	0	0.00305496282273759	0	0.61890781416227	0.811010339609218
MB-0054	0.0228211230036015	0.00455022151051161	0.0259820674099773	0.0389176324620372	0	0.134781964911266	0.078259246014333	0.0528013179268802	0	0.0841111201374961	0	0.0382191908358203	0.0147856311941245	0.0731939716261182	0.12147086069867	0.164958089165026	0.0270618300460611	0.00778385948519821	0.103677687494769	0	0.00418170400837788	0.00244248206973292	0	0.580795687927782	0.831272524635682
MB-0083	0.0063767879758006	0.0346892119620698	0.0203879925964271	0.0248292853310708	0	0.159655720434895	0.0165450373805559	0.0349756934245589	0	0.0815966997087859	0	0.0186404764810819	0.0495464825456721	0	0.0420540993238121	0.181029530754086	0.0158064536745701	0.00621236623224889	0.307654162174366	0	0	0	0	0.643368235137086	0.796586795167886
MB-0093	0.00835629101773026	0.0137584458352162	0.0220100618498335	0.111480884679214	0	0.0965977586588664	0.0344426580831791	0.0810743585817841	0	0.113078183977936	0	0.0413437809799277	0.0149757887521423	0.00167711505379843	0.092820755549406	0.172182113283482	0.0650150423063589	0.0192766952043509	0.108755831207415	0	0.00315423497935982	0	0	0.585553840443067	0.827407735821565
MB-0097	0.0238920393950525	0.0524157392723757	0.0166012607617572	0.107918344367446	0	0.0598791399859705	0.000281184352709178	0.0931350527192712	0	0.0574492092852494	0	0.0440725132546616	0.0230957203243131	0.0425868543254611	0.0519405471516885	0.198129998407257	0.0144618491500943	0.00209960252041825	0.209245523029999	0.00279542169627533	0	0	0	0.51950471614993	0.861893555401506
MB-0099	0.00516701660978431	0.0302684265230429	0.0879243347327262	0.0645733756742821	0	0.134139002985831	0.0158896145954959	0.0563693608524681	0.000435045811644232	0.101789649244673	0	0.0253259910355282	0.00218960144595935	0.0272451551151688	0.0675959201793601	0.146777674695213	0.00522949251347517	0.00470450218896358	0.22053211126745	0	0	0.00384372452893386	0	0.719277713887817	0.760316200544406
