Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
M105B	0	0.157490243705289	0.0724927563278836	0.066559168992587	0	0.0306819634230374	0.0375012001540561	0.0138369453340325	0	0	0	0.0617731127880847	0.0447688381016515	0.222537859027158	0	0.228296899689759	0	0	0.0310851262792784	0.0329758861771838	0	0	0	0.369708144450115	0.931672597004006
M105S	0	0.0924213409996058	0.0669025416158675	0	0	0.247700685870941	0	0.00566245028087329	0	0	0	0.0420490178197865	0	0.271667597221944	0	0.219692939410351	0	0.00733606516784324	0.0465673616127874	0	0	0	0	0.46071822789391	0.887303352527007
M140B	0.0131008982230955	0	0.124972543904232	0.0217747291619135	0	0.0939255739271999	0	0.0295253239248455	0	0	0	0.0315668341643296	0.115267873527925	0	0.0146113620629977	0.38866935771838	0.00162837427333089	0.00080449938869278	0.0575211341059657	0.0782121193153098	0.0284193763017822	0	0	0.631494949503427	0.802696241984829
M140S	0.0295558452981686	0	0.0891586169781069	0.0636320334414675	0	0.171329961617491	0.00516566829781571	0.0166194043454864	0.0204678218626346	0.00711032953258461	0	0.00731243531824659	0.0990665385491429	0	0.0193678038558904	0.285188405221605	0.014004965068372	0	0.157365073453647	0	0.0119549551365804	0.00270014202276018	0	0.504756542272849	0.871687134931164
M062B	0.00354158273968884	0.0178763767145731	0.0102229787289897	0.152638729551776	0	0.176786287001623	0	0.0604646990282644	0	0	0.0471491849510014	0	0.0344007531963003	0.0584967186129206	0.021316972675648	0.371126731226202	0	0	0.0126823901654038	0.0332965954076083	0	0	0	0.551233482894844	0.840468179677161
M062S	0.0869071469001486	0.0816248992528266	0.0632913658600198	0.119879718353037	0	0.216334962865251	0.0234893767657441	0.0427092200213881	0	0	0.0347003662598942	0	0.0113130976860985	0.0251893707203981	0.0443716850252529	0.170432463255469	0.0137679016789947	0	0.0555743107511005	0	0	0.0104141146043774	0	0.637044534061585	0.799260697155438
M070B	0.0137803495600195	0.00820755638211963	0.0437195555379023	0.163688113055094	0	0.323005168572962	0	0.0501895994682814	0.017664371753063	0	0	0.0337730593372179	0.0274004221463181	0	0.0263351929504716	0.206892192655253	0.00143817814830514	0	0.0831747022949543	0	0	0.000731538138037731	0	0.342415730401671	0.946398274217934
M070S	0.0161030204364337	0	0.188028174513983	0.185856293921017	0	0.192937260343873	0.00878718357069933	0.0544951971655982	0	0	0	0.0317396242702792	0.0357369994118011	0.0471515936871674	0.0327101050526196	0.133381254457408	0	0	0.0730732931691213	0	0	0	0	0.461551321600527	0.886358680610077
M073B	0	0.025530829527061	0.0938360135779352	0.185104514241318	0	0.240108633793859	0.0185053110512414	0.0561660952725727	0	0	0	0.0467271772466506	0.0408250538551405	0	0.055956574135986	0.185149392273923	0	0.00125801966481855	0.0508323853594941	0	0	0	0	0.522551336877641	0.855160047561555
M073S	0.00670997804884662	0.011759212033077	0.141051404390082	0.166867217141873	0	0.169200615644001	0.0733924972907989	0.067206063348076	0	0.0548967502206524	0	0.0416446154856257	0.0069901969695423	0	0.0543051273145806	0.144865375122374	0	0.0146817761636153	0.0350559457425284	0	0.00483411345647391	0.00653911162785401	0	0.380138126341421	0.926696356725729
M077B	0	0.0456706364047478	0.0653484095011064	0.0900301512038689	0	0.0838066821741713	0.0216568435362375	0.0472458838491	0.0547055980443543	0	0	0.0204959215009738	0.0376082816916271	0.000674997041051451	0.0125309000095943	0.31842328117781	0.0166569704213955	0	0.132637594126344	0	0.052507849317618	0	0	0.448412684347223	0.895960304980187
M077S	0	0.000278135209195166	0.0542959335276064	0.0294432600058186	0	0.126828223870969	0	0.0364857036333101	0.0200467653467483	0	0.0292125045873897	0.00919207634341133	0.12675010104402	0	0.010887736090288	0.408160463531999	0.0400024070139509	0	0.0837254789528479	0.0140238623613703	0.0106673484810759	0	0	0.538250202019777	0.852074048139568
M090B	0	0.0517982422167925	0.0428292219764828	0.034637024952873	0	0.0464523754171276	0	0.0173113886045327	0.0535323693278954	0	0.0765784388009162	0.00394867506126834	0.0101198003522136	0.218854080741031	0.0134437482871906	0.373967236109328	0	0	0.0450769109835586	0	0.0114504871687894	0	0	0.475518174635978	0.879283405496558
M090S	0.00692110563104386	0	0.0384678473126314	0.0308440905679839	0	0.0276330592563299	0.0256951318890204	0.100035571326153	0	0	0.0467894367709249	0.0179468859859521	0.00333988313939702	0.17923120785749	0.0662454899021714	0.369401662271614	0	0	0.0661617303245386	0.0121998866805747	0	0.00908701108417482	0	0.554908432728539	0.837803255618976
M094B	0	0.0924488772951394	0.0767194698564701	0.0391588297056096	0	0.120416311539522	0	0.00993663319372724	0.0296016692056353	0	0	0.0516579945748553	0.0368449584101462	0	0.0109530159636244	0.216834995247006	0	0.00869103018971139	0.272726116342889	0	0.0253673156032174	0.00864278287244586	0	0.538904773797875	0.85279126476028
M094S	0.00245649932746943	0.0126849753659764	0.0899843320992396	0.0472116184308824	0	0.127212968608783	0	0.0260924955209353	0.00991949964497458	0	0	0.0484295180164233	0.00511458102503205	0.0125320312111639	0.0103679483360655	0.347779113666496	0	0.00436974549310204	0.241875784036062	0	0	0.0139688892173942	0	0.684143560700316	0.778883057699687
