"Cell_Type","KW_Statistic","KW_P_Value","KW_P_Adjusted"
"B.cells.naive",3.25650706554925,0.196272057687709,0.2398880705072
"B.cells.memory",6.13167109385411,0.0466148766711572,0.0854606072304548
"Plasma.cells",15.5048007754881,0.000429709831407515,0.00236340407274133
"T.cells.CD8",11.9620510293235,0.00252623427309356,0.0111154308016117
"T.cells.CD4.naive",6.92145222154611,0.0314069488130311,0.0628138976260621
"T.cells.CD4.memory.resting",0.946494946252992,0.622975882310317,0.685273470541349
"T.cells.CD4.memory.activated",9.89862563669052,0.00708827819056317,0.0222774457417699
"T.cells.follicular.helper",18.29997178956,0.000106221301010711,0.000778956207411883
"T.cells.regulatory..Tregs.",7.10286161606766,0.0286835695977433,0.0628138976260621
"T.cells.gamma.delta",5.61872143742796,0.060243492622262,0.101950525976136
"NK.cells.resting",1.45557598504065,0.482976156235418,0.55923554932522
"NK.cells.activated",3.89350356009815,0.142736960439752,0.196263320604659
"Monocytes",0.246435934865428,0.88407094288452,0.88407094288452
"Macrophages.M0",4.4135022229105,0.110057633283681,0.161417862149399
"Macrophages.M1",28.1417094917128,7.74649826980151e-07,1.70422961935633e-05
"Macrophages.M2",20.2481351825859,4.01026720466096e-05,0.000441129392512706
"Dendritic.cells.resting",9.91217605541681,0.0070404159432577,0.0222774457417699
"Dendritic.cells.activated",5.18046331158669,0.0750026632712218,0.117861327997634
"Mast.cells.resting",7.71582692952931,0.021112004539428,0.0580580124834269
"Mast.cells.activated",3.51233248410765,0.172705708135991,0.223501504646577
"Eosinophils",7.0563134285672,0.029358983015171,0.0628138976260621
"Neutrophils",0.330894973160398,0.847514367914155,0.88407094288452
