Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM3612340	0.0281585932973993	0.00225152577030617	0.0208196762746346	0.0537159009365551	0	0.0890440310068739	0	0.0605767361327051	0.0404886857700436	0.0121285370649293	0	0.0296645256304584	0	0.18968850636054	0.0496592617552652	0.247137180466575	0.010694790130569	0	0.0922750312790069	0.0710642096241484	0	0.00263280849998944	0	0.885984747868318	0.629346042502803
GSM3612341	0.0320592918700337	0	0.0525044404803787	0.0637536776120018	0	0.030873049332699	0.0156239416598951	0.0940465402963434	0.0233554097784041	0.0127741774958638	0	0.0312660885830802	0	0.167755544269464	0.0439861330128192	0.239145658548403	0.00323576813073934	0	0.0408697511316215	0.137495174648389	0	0.0112553531498637	0	0.893516734987285	0.620343115224524
GSM3612342	0.0523432326071583	0	0.0585262891150129	0.0646721348536851	0	0.0707643411681309	0	0.0623016998259145	0.0164754985537647	0	0.0165915193472796	0.0171611173729089	0	0.161078317220395	0.0351237604511341	0.215401733034045	0.00139136145133161	0	0.159366952649003	0.0620537022996944	0	0.00674834005054188	0	0.861208052828837	0.66247452967152
GSM3612343	0.0555007471805873	0	0.020888455885881	0.030587462408327	0	0.0892689007747965	0	0.0596571885047917	0	0	0.0316580777142343	0.0348787203518557	0.0292039089248443	0.0231683040357643	0.0261667362891531	0.291448313236857	0.00599695269378468	0	0	0.269906848243498	0.0029641869843506	0.0287051967712752	0	0.725476781499575	0.717936862653858
GSM3612344	0.0493417296881166	0	0.0531767537575056	0.0348704150611451	0	0.151962986676021	0.00428377898851103	0.0747571983115755	0.0318746616600645	0	0.0380502147990878	0	0.0045259677983138	0.154384511855483	0.0402400803715154	0.186316002925622	0.0089271252830112	0	0	0.16146420547903	0	0.00582436734499735	0	0.717792381050681	0.746647771014594
GSM3612345	0.0525838762247431	0	0.0873269691848746	0.0364340288513926	0.0212008193600303	0.0635993390643482	0.0018930993763436	0.0442747899724669	0.0121611935040263	0	0	0.0424851600687091	0.000110561976286329	0.221752977667917	0.0411014811325953	0.214954347880927	0	0	0.018741068772666	0.133517072883841	0	0.00786321407883296	0	0.857858700870016	0.641392593545089
GSM3612346	0.0397463873706927	0	0.082970000159459	0.075892637744251	0	0.132227327734485	0.017068556760314	0.0572008398603488	0	0	0.0237414260794693	0	0	0.170783318892968	0.0280985687297452	0.24748615150299	0.00458879035144735	0	0.0598773985947512	0.0542505186429305	0	0.00606807757614804	0	0.785296206090543	0.716708271396746
GSM3612347	0.0340774309909167	0	0.0865028494918889	0.0639766997156647	0	0.069059856039016	0	0.0965757871952728	0.00420377142813499	0	0.00017432706829049	0.00801498827851173	0	0.231363810864261	0.0373458993892296	0.203989845834125	0.00677191408624565	0	0	0.153707193336439	0	0.00423562628200322	0	0.835443114054235	0.655886431736578
GSM3612348	0.0474336099680501	0	0.0928027660244523	0.0682921170647468	0	0.0966241143262772	0	0.100669650326421	0.00159162994617091	0	0.000853981965339348	0.0381976098082439	0.0203682440018317	0.00237554980549077	0.0525224107601084	0.350665148431487	0.0108775845158696	0	0.0844454402164591	0.0273696230963774	0	0.0049105197426744	0	0.745127599843795	0.749838569689885
GSM3612349	0.0602501717892147	0	0.135217305308242	0.0456489987963903	0	0.102994251670395	0	0.061619163889815	0	0.00952427886028797	0	0.0422522745509793	0	0.0134216127476432	0.0219420279267451	0.2807612847541	0.00851543849519422	0	0.0393415823525309	0.168763725370134	0	0.0097478834883276	0	0.732067492361382	0.743981359262089
