"Treatment_Group","n_pairs","mean_pre","mean_post","median_pre","median_post","p_value_wilcox","p_value_ttest","effect_size","p_value","significance","cell_type","cell_label","category"
"TPA",31,0.0594793609424366,0.0636782555768305,0.0651660085267787,0.0569681479528401,0.594814425334334,0.500314090660707,7.05941450591165,0.594814425334334,"ns","T_cells_CD8","CD8+ T cells","adaptive"
"Placebo",29,0.0540258300159373,0.058298077334603,0.0567019156543739,0.0580801601184945,0.579281724989414,0.399507924466931,7.90778654840728,0.579281724989414,"ns","T_cells_CD8","CD8+ T cells","adaptive"
"TPA",31,0.00303174322764862,0.00683676222828095,0,0,0.2553403615339,0.175184227283705,125.505978406471,0.2553403615339,"ns","T_cells_CD4_naive","Naive CD4+ T cells","adaptive"
"Placebo",29,0.0031967574608226,0.00187183334436335,0,0,0.932646638965876,0.501155546973087,-41.4458754752797,0.932646638965876,"ns","T_cells_CD4_naive","Naive CD4+ T cells","adaptive"
"TPA",31,0.117837579019703,0.118346846698011,0.1144952222968,0.117990633802692,0.976886581629515,0.9602770479802,0.432177648713311,0.976886581629515,"ns","T_cells_CD4_memory_resting","Resting Memory CD4+ T cells","adaptive"
"Placebo",29,0.11449620505843,0.0917860356688162,0.116057327492859,0.0906444990899517,0.0431205593049526,0.0283650885452341,-19.8348664726696,0.0431205593049526,"*","T_cells_CD4_memory_resting","Resting Memory CD4+ T cells","adaptive"
"TPA",31,0.00530438827071571,0.010759746120361,0,0,0.109853514160051,0.0710851654055731,102.84612609833,0.109853514160051,"ns","T_cells_CD4_memory_activated","Activated Memory CD4+ T cells","adaptive"
"Placebo",29,0.0088070092875624,0.0081386669218852,0,0,0.67262878772777,0.808225737861459,-7.58875509102806,0.67262878772777,"ns","T_cells_CD4_memory_activated","Activated Memory CD4+ T cells","adaptive"
"TPA",31,0.064679867295035,0.0635917038226148,0.0637108731572181,0.061619163889815,0.809165561571717,0.796103983149069,-1.68238358847685,0.809165561571717,"ns","T_cells_follicular_helper","T Follicular Helper cells","adaptive"
"Placebo",29,0.0586898378678893,0.0684931819460784,0.0579518285199277,0.0609956474700256,0.110421076416969,0.0823449557814489,16.7036482538194,0.110421076416969,"ns","T_cells_follicular_helper","T Follicular Helper cells","adaptive"
"TPA",31,0.0125142150972171,0.00246913811700352,0.0075050579167014,0,0.000496732687837335,0.00144959165607864,-80.2693329320142,0.000496732687837335,"***","T_cells_regulatory_Tregs","Regulatory T cells","adaptive"
"Placebo",29,0.0108683617725487,0.00412262496420538,0.00711043234454032,0,0.00141319093004105,0.000835536103705104,-62.0676505762046,0.00141319093004105,"**","T_cells_regulatory_Tregs","Regulatory T cells","adaptive"
"TPA",31,0.0510453166468653,0.0585115031753329,0.0493417296881166,0.0583645815587681,0.111049959436059,0.149290561016267,14.6265848052608,0.111049959436059,"ns","B_cells_naive","Naive B cells","adaptive"
"Placebo",29,0.0602854076297625,0.053935120534684,0.0470436601370425,0.0430097302474313,0.346684567630291,0.181466060763139,-10.5337051614186,0.346684567630291,"ns","B_cells_naive","Naive B cells","adaptive"
"TPA",31,0.017011045799623,0.0126622392584749,0.00677450813242831,0,0.360375187544933,0.41160127047432,-25.5646042716817,0.360375187544933,"ns","B_cells_memory","Memory B cells","adaptive"
"Placebo",29,0.0157339633092162,0.0156407991657588,0,0,0.344306074987498,0.989372921944936,-0.592121270569069,0.344306074987498,"ns","B_cells_memory","Memory B cells","adaptive"
"TPA",31,0.064493663440664,0.0613794930494166,0.0531767537575056,0.0574027458547687,0.930735064670443,0.654094060579996,-4.82864552129615,0.930735064670443,"ns","Plasma_cells","Plasma cells","adaptive"
"Placebo",29,0.0783512888971968,0.0629046530919604,0.0767300674253214,0.0566198555687239,0.256007920950651,0.0929816111235618,-19.7145905608568,0.256007920950651,"ns","Plasma_cells","Plasma cells","adaptive"
"TPA",31,0.00820391159900914,0.0028901602149475,0.000853981965339348,0,0.0263463467447607,0.0473349093707173,-64.7709488325476,0.0263463467447607,"*","NK_cells_resting","Resting NK cells","innate"
"Placebo",29,0.00988147719469582,0.004060555168236,0,0,0.0437723237630412,0.0405390020503794,-58.9074073822119,0.0437723237630412,"*","NK_cells_resting","Resting NK cells","innate"
"TPA",31,0.0238457134044432,0.0353294192389469,0.0244167284993769,0.0377884299139871,0.0393561655655503,0.0362918715699261,48.1583655717503,0.0393561655655503,"*","NK_cells_activated","Activated NK cells","innate"
"Placebo",29,0.0155506171898487,0.0313471739286501,0.00501357027854658,0.031918058899781,0.00100019924257421,0.000468868035808678,101.58154204396,0.00100019924257421,"**","NK_cells_activated","Activated NK cells","innate"
