PatientID	aDC	Adipocytes	Astrocytes	B_cells	Basophils	CD4_memory_T_cells	CD4_naive_T_cells	CD4_T_cells	CD4_Tcm	CD4_Tem	CD8_naive_T_cells	CD8_T_cells	CD8_Tcm	CD8_Tem	cDC	Chondrocytes	Class_switched_memory_B_cells	CLP	CMP	DC	Endothelial_cells	Eosinophils	Epithelial_cells	Erythrocytes	Fibroblasts	GMP	Hepatocytes	HSC	iDC	Keratinocytes	ly_Endothelial_cells	Macrophages	Macrophages_M1	Macrophages_M2	Mast_cells	Megakaryocytes	Melanocytes	Memory_B_cells	MEP	Mesangial_cells	Monocytes	MPP	MSC	mv_Endothelial_cells	Myocytes	naive_B_cells	Neurons	Neutrophils	NK_cells	NKT	Osteoblast	pDC	Pericytes	Plasma_cells	Platelets	Preadipocytes	pro_B_cells	Sebocytes	Skeletal_muscle	Smooth_muscle	Tgd_cells	Th1_cells	Th2_cells	Tregs	ImmuneScore	StromaScore	MicroenvironmentScore
M105B	0	2.12E-18	4.20E-18	0.003684794	0.079405702	2.30E-20	0	4.37E-18	1.42E-18	1.39E-19	0.034394222	0.002283936	1.63E-17	1.34E-17	0	3.13E-18	0.01972517	0.055083281	0	0	0.013531941	1.91E-18	4.39E-19	0	4.73E-18	0	0	0.00249009	0.0072799	1.78E-19	0.002407663	2.93E-19	0	7.46E-20	0.002048277	0.003587863	0	0	0.037413912	4.72E-21	3.27E-18	0	1.18E-18	8.50E-21	0.000539301	0	0.008739549	1.64E-19	3.71E-17	0	0.090295203	0.009860681	6.75E-18	0	2.78E-18	0.036454474	0.008116658	0	0	0.187009841	5.93E-19	0	0.163352637	9.43E-19	0.005344672	0.00676597	0.012110642
M105S	2.00E-19	0	0	0.004502027	0.017637026	0	0	9.01E-19	0.011498131	0.035060413	0.013765284	0	3.41E-18	9.06E-18	0	0	0.004559675	0.037390721	3.26E-18	8.69E-19	0.001816462	0	0.000484134	0	7.63E-18	3.03E-21	1.96E-20	2.68E-19	0	1.04E-20	0	0	3.43E-20	0	0.002796908	0	0.002400065	0	0.082546796	5.23E-19	0	5.57E-19	0.090973126	0	2.07E-20	4.54E-21	0.010691772	1.13E-18	0	0.029461325	0.114750911	0.001196633	0.021959768	0.021943425	1.84E-19	0	0.001712894	0	2.13E-18	0.095840733	0	0.004553511	0.042758886	0	0.004865957	0.000908231	0.005774188
M140B	0.085437858	3.45E-19	5.69E-20	0	0.130430065	0	1.23E-18	0	1.26E-19	0	0.006827856	3.66E-18	9.35E-18	0	0.016843347	4.26E-18	0	0.008594324	0.004910062	0.002618172	0	0	8.68E-05	0	0	3.92E-18	1.95E-19	0.00558077	1.20E-18	1.07E-19	9.57E-20	0.034150768	0.01896704	0.022995817	0.005856826	2.14E-21	0.00118949	0.000862085	0.028901846	0	0.01352593	0	0.009021402	3.11E-19	0.00087458	0	0.004944263	7.35E-20	0	0	0.066827178	0.003687603	2.42E-17	0	0	1.50E-17	0.003317563	0	0.001715793	0.086561524	0	0	0.056786059	0	0.037434464	1.73E-19	0.037434464
M140S	0.102176038	0	0.00232668	0	0.07390398	0	8.48E-19	0	0	0	0.016226217	0	0.002841252	2.70E-18	0.031837681	0	0.000761932	0.019943244	0.013287704	0.006458057	0.002618627	6.79E-19	0.001748225	0	0	0.003240904	7.99E-19	0.025127367	0	4.93E-19	0.001748867	0.0341962	0.014782132	0.036485431	0.004289709	0.001854447	0.000947726	0	0.070719865	0	0.007911996	0	0	0	0.003389886	0	0.000682222	0.000881135	4.69E-18	0	0.044619175	0.011971123	0	0	0	8.41E-18	0.008596602	0	4.96E-20	0.102139546	0	1.25E-17	0.148273713	0	0.035824732	0.001309313	0.037134045
M062B	0	0.193172896	0.127620796	0	0.162267642	0	0	6.71E-18	0	0	0	5.31E-18	0	0	2.12E-18	0.045960693	0	5.36E-19	0	6.33E-19	0.015765729	0	0	1.10E-18	1.92E-18	2.50E-17	0.005720679	0.084820733	5.33E-19	0	0.007232781	0.001229366	1.19E-20	0.018962292	2.10E-21	0.006615872	0	0	0.004349406	0.024516212	7.99E-18	1.92E-17	0	0.019375012	0	0	0.000437905	0	2.82E-18	0	0.064422758	2.02E-18	2.55E-18	0	9.71E-18	0.010533967	0	4.33E-20	0	0	3.31E-18	0	3.68E-18	0	0.000819577	0.104469313	0.10528889
M062S	0.069777387	0.017004497	0.153143434	0	0.160127077	0	0	0	2.11E-18	2.39E-20	3.76E-18	0	0	0	0	0.052121929	0.002706549	0	4.76E-18	0	0.02243367	1.14E-18	0.002827926	6.54E-19	0.007131533	6.20E-18	0.005905801	0.099256488	0	0.002502625	0.001709578	2.28E-18	0.003287944	0.009286459	7.24E-20	0.007409173	0.001419449	0	0	0.010667762	0	1.29E-17	0	0.007898192	4.26E-19	0.001160196	0.0015272	2.55E-19	0	8.39E-18	0.055217301	2.63E-19	0.015833256	1.23E-18	9.82E-18	7.34E-06	3.51E-18	0	0	0.004480359	7.07E-18	0	2.23E-18	0	2.50E-18	0.02328485	0.02328485
M070B	0.059497442	0.010550306	4.76E-18	0	6.18E-20	0.006799035	0	1.27E-19	1.30E-18	0.00803745	0.003501653	0	0.021669171	3.28E-19	0	0	0.000437532	0.00355535	0	0.000345758	0	0	0.008759023	4.82E-20	0.012662098	0.01609804	6.31E-20	0.023992683	4.12E-18	0.000294896	4.18E-19	0.002791942	0	0.014064084	1.01E-20	0.001091779	0.001502121	1.18E-18	0.064792721	0	0.003115039	0	0.214234559	0	0.005246191	8.81E-19	0	1.32E-20	1.86E-18	0.014594721	0.123847466	0.010214249	4.11E-18	0	0.005700205	0	0.023165055	0.000203711	9.74E-19	0	0	4.96E-18	0.244960809	8.08E-18	0.004168493	0.011606202	0.015774695
M070S	0.150664864	0.052990517	0.008508838	0	0	0.001658933	0	1.10E-19	2.32E-18	0.107496247	0.00815064	0.029283368	0.08832874	0.003226106	0.003064769	0.007861925	0.024114646	0	0.003073045	0.006796825	1.27E-19	0	0.003934942	0	0.070828982	0.014014641	2.66E-19	0.064308676	0.030473747	0.000878835	0.001176609	0.014329622	0.002358035	0.035917255	0.002234117	0.002627951	0.000980861	0	0.014666902	0	0.009057031	1.11E-18	0.284171719	0.001005728	0	4.07E-20	0.000148964	1.10E-20	0	0.009636241	0.03453879	0.00706812	0.032334294	2.63E-19	0.00108983	6.31E-18	2.31E-18	0.000514073	0	3.87E-18	5.92E-18	1.21E-18	0.060348513	6.68E-20	0.041133976	0.061909749	0.103043725
M073B	0.13816727	0.000843793	0.020563787	0.031963323	0.184570541	0	4.57E-18	3.58E-18	3.44E-19	0.065003593	0.00763271	0.053718051	0.056295095	4.86E-19	0.002426925	0.016676619	0.009897728	8.43E-20	1.05E-18	0.006628929	0	2.40E-18	0	9.57E-19	0	4.73E-18	0.001409778	1.28E-18	0	2.31E-18	9.54E-20	0.020283571	0.024402312	0.0229976	0.013094239	6.43E-19	0.000199001	0.007180793	0.042356626	0.00175511	2.05E-18	1.53E-18	0.05007091	0	1.09E-19	0.003083824	0	0	4.65E-18	0	0.063785908	0.014497613	0.002318239	6.90E-20	1.87E-18	0	0.016464497	1.18E-19	4.67E-21	0.014453507	1.36E-18	0.000598004	0.120480345	0.000338475	0.083792076	0.000421896	0.084213973
M073S	0.233236889	0.017819301	0.045822614	0.070104981	0.08074552	0.032841198	4.51E-18	0	5.44E-19	0.140187356	0.022888358	0.106513776	0.226071642	0.019598763	0.019649059	0.020503806	0.032239893	0.000135157	3.25E-19	0.024725837	0.002378355	0	0.002391288	0	0.024796425	0	0.000436227	0.025602462	0.104566232	0	0.000777344	0.045916696	0.044555649	0.038774583	0.008587503	0.000317503	2.01E-18	0.02467053	8.72E-19	0.008100544	0.012032116	2.03E-18	0	0.000214986	6.16E-19	0.005337669	8.55E-05	2.46E-19	6.08E-18	3.17E-19	0	0.094680072	2.51E-18	0.014954387	1.04E-19	0.022099867	0.003537652	0.000274051	0	0.024205299	5.88E-18	0	0.119292761	0.027518244	0.178587273	0.02249704	0.201084314
