"","aDC","Adipocytes","Astrocytes","B-cells","Basophils","CD4+ memory T-cells","CD4+ naive T-cells","CD4+ T-cells","CD4+ Tcm","CD4+ Tem","CD8+ naive T-cells","CD8+ T-cells","CD8+ Tcm","CD8+ Tem","cDC","Chondrocytes","Class-switched memory B-cells","CLP","CMP","DC","Endothelial cells","Eosinophils","Epithelial cells","Erythrocytes","Fibroblasts","GMP","Hepatocytes","HSC","iDC","Keratinocytes","ly Endothelial cells","Macrophages","Macrophages M1","Macrophages M2","Mast cells","Megakaryocytes","Melanocytes","Memory B-cells","MEP","Mesangial cells","Monocytes","MPP","MSC","mv Endothelial cells","Myocytes","naive B-cells","Neurons","Neutrophils","NK cells","NKT","Osteoblast","pDC","Pericytes","Plasma cells","Platelets","Preadipocytes","pro B-cells","Sebocytes","Skeletal muscle","Smooth muscle","Tgd cells","Th1 cells","Th2 cells","Tregs","ImmuneScore","StromaScore","MicroenvironmentScore"
"GSM3612340",0.08642422091797,0.000140691364251881,0,0.0754607723807082,0.000335190061001676,0.0328435463159116,0.0101073993990879,0.0520522589715236,0.00848735352311466,0.112682505649975,0.00554326764270234,0.0312411858894372,0.0301207145446473,0.00634009811215306,0.0950665221593229,0.0298779617884837,0.0336023478750832,0.029311837604255,0.00504501396379132,0.00773579513697972,0.0479349293707972,9.24886385355538e-20,0.0064682054221277,1.25877644666764e-21,0.133073950733397,0.0227075914716563,0.00111283419495317,0.18371223429489,0.086312000612837,0,0.0139709002751517,0.0839227518078061,0.0756099093359412,0.0171023601222159,0.0306814276845249,0.00182790596270234,0.00264520066336207,0.00773301369260598,0.0202075536837371,3.65432142320724e-06,0.0205507689708236,0,0.0482404708969642,0.0272585869076365,0,0.00157092705583945,0.000293198267133546,9.34526046278532e-21,0,0.0208350157093744,0,0.0174479627507927,0.0779849360127137,0.0166904817894042,0.00317813839166104,0.000195073368918829,0,4.58379715968046e-20,0,0.0864633726285249,0.0131237767664035,0.000963409821511864,0.0136158498385779,0.0838427013824175,0.201096640561202,0.0905747857342232,0.291671426295425
"GSM3612341",0.0999418978889135,0.00944775201754497,1.13895325779317e-18,0.0370178921930351,9.83479116699809e-19,0.023033815951198,0,0.0358085596132534,1.41299461575961e-18,0.124610776856989,0.00580738926140862,0.00654787130629432,0.0395516807753507,0.00658038213154383,0.0751876592156171,0.0195205022884907,0.0243203955646088,0.0617423586575491,0.00196928157164736,0.0130898987909163,0.0411655440512187,0,0.0353170236701333,9.38160025297676e-21,0.0910855879916866,0.00772729244174865,0.00053566616749791,0.177500424652171,0.100108839773205,0.00300169922738549,0.0162128109424496,0.0796871648242834,0.0689616516277969,0.0304955011718299,0.017877692748905,0.000443831734499017,0.000951881395429532,0,0.039806480056301,0.00306726125534743,0.0231745764770319,0,0.0550509021505604,0.0356884410162418,0.00144880719374492,0,0.00035083950213242,0.00194060444562756,0,0.0291872343757563,0.0257581332965659,0.0199337778879324,0.0363822621071016,0.0184921080100378,2.01700115376648e-18,0.0135644482287675,0,1.55597464721762e-20,0,0.0624315894289821,0.0155101276889156,0.00675438475510768,0.0218466428775316,0.0577086876092447,0.143429506932898,0.0708494420302251,0.214278948963123
"GSM3612342",2.10825981493462e-18,0.132069102537239,0,0,0.0311203335877247,0,0,0,0,0.0436081566620207,0,4.85584021853847e-19,0,0,0.0369948850721921,0.022261128181141,2.43572086674264e-18,0.0335611173478079,0.0136463933390119,0.00630087491972313,0.0778909271371879,0,0.0556759427368901,5.20036030322033e-21,0.183432167529108,0.0146221263533697,0.00211732069048651,0.195101108266212,0.124809239384165,0.00232732953622033,0.0295110787374257,0.00153333234622345,0.00476677647932613,0.019531949831777,0.00868435101547694,0.00293261085200296,0.00286578927573334,0,0.0168935426932358,0.0096124095793781,1.03121311751309e-17,0,0.0220491826694128,0.0452744677052951,0.0127291520939339,4.31073476548068e-18,0.00137038099782306,0.000282107940482337,0,0.0395121299461593,0,0,0.0204327147423797,6.70875733256296e-05,0,0.0228607278067261,1.90234693497084e-17,3.89315399428248e-19,7.20621736313819e-21,0.146636849495921,1.08842617335608e-19,0.0076556025510575,2.69923025707709e-05,1.95643177257742e-18,0.0112004441479373,0.196696098601768,0.207896542749705
"GSM3612343",0,0.17972901589408,5.97959359633968e-20,1.91673313379054e-19,0.0436032493546602,0,0,4.78657893499739e-18,3.70683311148601e-18,0,0,5.59193739341879e-18,1.80838559637102e-18,5.31646119111253e-18,0.130325406547397,0.0260218236142008,0,0.0115209951330315,0.00447780021004617,0.0112288344900412,0.166367833845513,2.84154664735951e-19,0.0112231502318868,0,0.282546037414842,0.01951524541901,0.00438080703431486,0.352212101327228,0.3211437701153,0.00361024312187108,0.103581637631968,5.2760294557117e-18,0.00765284715558109,0.00790414867868352,0,0.0134640497468232,0,0,0.0130877962322567,0.0234137321464746,0,0,2.61963947046936e-17,0.0957677237174078,0.0229519808588759,1.95514183276318e-18,0.000912727438676527,0.00800660680112641,6.52269603221526e-18,0.0128459635926029,9.10317556915175e-18,2.38950126792174e-18,3.84986011583604e-19,0,1.02819762681542e-18,0.10955219920576,0,0,0.000759925760723778,0.102842147196624,7.95298804398896e-19,5.89998688655487e-20,0,1.10115413672213e-18,0.0128236275274451,0.314321443577217,0.327145071104663
"GSM3612344",0,0.000308341865952684,1.31624353619683e-18,0.0207682655452238,0.0110467706692143,0.0037649792767989,0,1.46839477278971e-18,1.68506166726329e-18,0.0357530753610589,0.00663662610956617,3.56982715744909e-19,1.55570291774943e-18,0,0,0,0.00462171806074884,0.0640045157731405,0,0,0.00531344311799489,1.40807994867171e-19,0.0746967841132282,0,0,0,1.13534309628316e-18,0.031527058535218,0.05985224835123,0.00539912092154692,0.00250645765111142,0.00206261403248761,0.00700973779606785,0,0.00217662378712348,0.00420430253681679,1.56337945953054e-23,3.55651393696308e-19,0.0232015622773742,1.51033148816496e-18,0,0,0.077365662796564,0.00393250623259526,0.0146464139306188,0.00372997514771779,0.000949282918134178,0,0,0.057061703214925,0.00373115544914519,0.0199112693526556,5.97971952656844e-18,5.03345141133388e-20,1.2967062113195e-19,1.96020682224917e-18,0.0143753585357197,2.29914569728947e-22,3.13924949373302e-18,0.137671950249566,0.0360666715552407,0.00900627526807494,0.0864901130015442,2.63898905314509e-18,0.0166716689098899,0.00281089249197379,0.0194825614018637
"GSM3612345",0.0240996388346703,0.0440423793081001,1.72236525671286e-18,0.0121456799181474,0.0293995067691984,4.82196863286539e-21,4.01060747799938e-18,8.6842173007769e-19,1.9641017189324e-18,0.0577250494888993,3.620698850763e-20,0,6.45133792326603e-19,0,0.0233125160705643,1.05751735283322e-17,0.0148092161356054,0.0455094095418231,0,0.00648736560496693,0.0235609696862987,0.00393585400673151,0.0886625102384735,0,0.0545330613287647,6.14417559478915e-19,1.50381032730456e-18,0.0351916318217425,0.14128268579213,0.0117422059635694,0.00565347670439834,0.0111592244115893,0.0255832549689695,1.27122619220517e-18,0.00105627191868194,3.1263097303195e-20,0.00129623220433144,0,0.0199261823022608,0.0084000998047662,0.0069730882033794,0,0.168397754630538,0.0169782989287244,0.00842465487420249,0,0.000509618442750661,4.3413949918248e-19,5.82011868776899e-18,0.040433386818922,4.99862800679143e-18,0.015757925670373,0,0.00169926550497904,0,0,0.00682887035247797,4.29578830052834e-19,8.922900613128e-19,0.10258624755255,0.0153284879458682,0.029779086584189,0.0227849851619266,3.40925234137187e-20,0.0278383227089977,0.0610682051615818,0.0889065278705795
"GSM3612346",0.0213724807723815,9.06264123240931e-20,0,0.0138308024391878,0.0878826230810255,0.00325175469258105,2.00760612061663e-18,9.14052027442327e-20,3.64352421082302e-18,0.0332357655423359,2.78170336440458e-21,3.99567085567316e-19,5.29247445434958e-19,8.98491164778894e-18,0.0295666604423103,0.0043839371755144,0.0446582123118447,0.0662504852289869,0,0.0029105214710303,0.00543960569257263,1.34142153015308e-18,0.0487145807798172,0,0.0680669186604815,0,0.0014710769110578,0.0715265191610501,0.0652911756257021,0.00564700173687461,0.000483217849334263,0.00823194669455084,0.0146937167391108,0.00244104750767555,0.000160157251762147,1.25891396463199e-20,0.00301434060647511,0,0,0.000126562447092469,0,1.01477999953827e-17,0.1330928800344,0.00224821067780851,0.00647105018645764,8.16131771683073e-18,0.000352097637359971,1.35571882770786e-18,1.3233700381945e-17,0.0272303515403696,5.30947010397674e-18,0.0157989196550157,0.0185353033247723,0.00811517331345904,0,0,6.70108473378367e-18,0,1.65323081674018e-19,0.0940280630152093,0.00797444160182248,0.00338938233167629,0.00602469413629071,0.02112013930034,0.0167556185710207,0.0367532621765271,0.0535088807475478
"GSM3612347",0.0164631639743533,0.00947188714750928,0,1.6194032636002e-20,0.052785825849184,3.13112856864111e-05,0,9.75269112377025e-20,1.01820779624419e-18,0.0434851324789274,0.00878920939792482,7.54429590986994e-20,0,2.81650205996686e-18,0.00491710539998204,0.000530049251103285,0.0344708691463603,0.0730062953333131,1.30146538465739e-18,0.00159876322964467,0.00718195319718851,0,0.0487378662415946,0,0.110278834528763,0,0.000322428150161713,0.0876781164398077,0.0603823766008345,0.00626760380283282,0.000556711469798632,0.0027067073531546,0.00720923059953232,0.00452764079466737,0,6.23091931882152e-21,0.00366458207440775,3.36405003961523e-18,0,0,2.15532641527197e-19,4.81309646748018e-18,0.201998027148135,0.00478113468716854,0.00543909321980626,1.02041857910323e-17,0.000341373851362368,3.75916510896131e-19,6.2557910583487e-18,0.008921281478607,0,6.87594435281522e-19,0.0265216816898853,0.00708005149079887,1.21736978082487e-18,0,0,0,4.5249595497115e-19,0.122918598021176,0.00139058715414036,0.00556811157770722,0,0.0108039120837363,0.00287031372186618,0.0634663374367303,0.0663366511585965
"GSM3612348",5.35954169992194e-18,0.166448749425184,0,3.82078457034989e-19,9.90877907270933e-18,1.43041855378281e-18,0,0,0.00841794480676782,0.039393191331362,0.00295494087236701,2.17282961253835e-18,0,1.09419132906502e-19,0.0379389389058982,0.0149437586108121,0,0.00347927250524241,0.00484536041269786,0.00529173839764817,0.120377481369253,9.41004544662249e-19,0.0375307010052538,5.45231606901729e-05,0.221417861471642,0.00792718314165277,0,0.253998867919601,0.1547324211382,0.000769212948108878,0.0716849791183703,0,0,0.015233739635715,0,0.00746424992965593,0.00333966970353816,0,0.000393261617409199,0.0254989340851433,8.60390110376186e-18,0,0.0349987298136495,0.0720478671589569,0.00146320322092539,1.10010936547634e-17,0.000844864441268811,0,1.89393961351421e-18,0.035938191485547,0,0,0.0448485972936527,6.53888970547248e-19,1.15495436281774e-18,4.39577583786327e-19,0,0,0.00200688093564103,0.0198424521289883,1.43750918714223e-18,0,0.00334669055473181,0,0.00352782559843212,0.25412204613304,0.257649871731472
"GSM3612349",5.49137659222494e-18,0.0455846154987904,0,0,0.0309441572514766,3.54088434160612e-18,1.44831555905836e-18,6.3786547461649e-19,0,0.011574046714174,5.04203347647138e-05,0,5.59270225755304e-19,9.93675324199234e-19,0.0787039073223127,0.0271218914920304,0.00411714046080914,0.0136957643300327,0.00604753777113467,0.010053980363455,0.0752859708171711,0.00131957625831305,0.0604420171865235,0,0.265900636238818,0.00871204076265191,0.00204937257485135,0.265530535825629,0.220336181801926,0.0132696655622647,0.0358344550344401,1.87830882509501e-18,0.00275167271318023,4.86789883551914e-20,0.000456331468020252,0.00636333909994723,0.00332185262358593,0,0.010923074676758,0.0237033589999634,1.88221417615429e-18,0,0.0386155239900353,0.0363410510898454,0.00188893486121418,0,0.000515057092338459,0.000356637042077736,0,0.00901460849319281,1.97019147356016e-19,1.72924899701284e-18,0.0145140685779761,3.10487562338439e-20,5.43702052677419e-18,3.53060596617221e-19,6.13959384682768e-18,0,0.00306106029474646,0.106460353517081,0,4.1147536203162e-19,0,0,0.00812435008791068,0.19338561127739,0.201509961365301
