PatientID	aDC	Adipocytes	Astrocytes	B_cells	Basophils	CD4_memory_T_cells	CD4_naive_T_cells	CD4_T_cells	CD4_Tcm	CD4_Tem	CD8_naive_T_cells	CD8_T_cells	CD8_Tcm	CD8_Tem	cDC	Chondrocytes	Class_switched_memory_B_cells	CLP	CMP	DC	Endothelial_cells	Eosinophils	Epithelial_cells	Erythrocytes	Fibroblasts	GMP	Hepatocytes	HSC	iDC	Keratinocytes	ly_Endothelial_cells	Macrophages	Macrophages_M1	Macrophages_M2	Mast_cells	Megakaryocytes	Melanocytes	Memory_B_cells	MEP	Mesangial_cells	Monocytes	MPP	MSC	mv_Endothelial_cells	Myocytes	naive_B_cells	Neurons	Neutrophils	NK_cells	NKT	Osteoblast	pDC	Pericytes	Plasma_cells	Platelets	Preadipocytes	pro_B_cells	Sebocytes	Skeletal_muscle	Smooth_muscle	Tgd_cells	Th1_cells	Th2_cells	Tregs	ImmuneScore	StromaScore	MicroenvironmentScore
GSM3612340	0.086424221	0.000140691	0	0.075460772	0.00033519	0.032843546	0.010107399	0.052052259	0.008487354	0.112682506	0.005543268	0.031241186	0.030120715	0.006340098	0.095066522	0.029877962	0.033602348	0.029311838	0.005045014	0.007735795	0.047934929	9.25E-20	0.006468205	1.26E-21	0.133073951	0.022707591	0.001112834	0.183712234	0.086312001	0	0.0139709	0.083922752	0.075609909	0.01710236	0.030681428	0.001827906	0.002645201	0.007733014	0.020207554	3.65E-06	0.020550769	0	0.048240471	0.027258587	0	0.001570927	0.000293198	9.35E-21	0	0.020835016	0	0.017447963	0.077984936	0.016690482	0.003178138	0.000195073	0	4.58E-20	0	0.086463373	0.013123777	0.00096341	0.01361585	0.083842701	0.201096641	0.090574786	0.291671426
GSM3612341	0.099941898	0.009447752	1.14E-18	0.037017892	9.83E-19	0.023033816	0	0.03580856	1.41E-18	0.124610777	0.005807389	0.006547871	0.039551681	0.006580382	0.075187659	0.019520502	0.024320396	0.061742359	0.001969282	0.013089899	0.041165544	0	0.035317024	9.38E-21	0.091085588	0.007727292	0.000535666	0.177500425	0.10010884	0.003001699	0.016212811	0.079687165	0.068961652	0.030495501	0.017877693	0.000443832	0.000951881	0	0.03980648	0.003067261	0.023174576	0	0.055050902	0.035688441	0.001448807	0	0.00035084	0.001940604	0	0.029187234	0.025758133	0.019933778	0.036382262	0.018492108	2.02E-18	0.013564448	0	1.56E-20	0	0.062431589	0.015510128	0.006754385	0.021846643	0.057708688	0.143429507	0.070849442	0.214278949
GSM3612342	2.11E-18	0.132069103	0	0	0.031120334	0	0	0	0	0.043608157	0	4.86E-19	0	0	0.036994885	0.022261128	2.44E-18	0.033561117	0.013646393	0.006300875	0.077890927	0	0.055675943	5.20E-21	0.183432168	0.014622126	0.002117321	0.195101108	0.124809239	0.00232733	0.029511079	0.001533332	0.004766776	0.01953195	0.008684351	0.002932611	0.002865789	0	0.016893543	0.00961241	1.03E-17	0	0.022049183	0.045274468	0.012729152	4.31E-18	0.001370381	0.000282108	0	0.03951213	0	0	0.020432715	6.71E-05	0	0.022860728	1.90E-17	3.89E-19	7.21E-21	0.146636849	1.09E-19	0.007655603	2.70E-05	1.96E-18	0.011200444	0.196696099	0.207896543
GSM3612343	0	0.179729016	5.98E-20	1.92E-19	0.043603249	0	0	4.79E-18	3.71E-18	0	0	5.59E-18	1.81E-18	5.32E-18	0.130325407	0.026021824	0	0.011520995	0.0044778	0.011228834	0.166367834	2.84E-19	0.01122315	0	0.282546037	0.019515245	0.004380807	0.352212101	0.32114377	0.003610243	0.103581638	5.28E-18	0.007652847	0.007904149	0	0.01346405	0	0	0.013087796	0.023413732	0	0	2.62E-17	0.095767724	0.022951981	1.96E-18	0.000912727	0.008006607	6.52E-18	0.012845964	9.10E-18	2.39E-18	3.85E-19	0	1.03E-18	0.109552199	0	0	0.000759926	0.102842147	7.95E-19	5.90E-20	0	1.10E-18	0.012823628	0.314321444	0.327145071
GSM3612344	0	0.000308342	1.32E-18	0.020768266	0.011046771	0.003764979	0	1.47E-18	1.69E-18	0.035753075	0.006636626	3.57E-19	1.56E-18	0	0	0	0.004621718	0.064004516	0	0	0.005313443	1.41E-19	0.074696784	0	0	0	1.14E-18	0.031527059	0.059852248	0.005399121	0.002506458	0.002062614	0.007009738	0	0.002176624	0.004204303	1.56E-23	3.56E-19	0.023201562	1.51E-18	0	0	0.077365663	0.003932506	0.014646414	0.003729975	0.000949283	0	0	0.057061703	0.003731155	0.019911269	5.98E-18	5.03E-20	1.30E-19	1.96E-18	0.014375359	2.30E-22	3.14E-18	0.13767195	0.036066672	0.009006275	0.086490113	2.64E-18	0.016671669	0.002810892	0.019482561
GSM3612345	0.024099639	0.044042379	1.72E-18	0.01214568	0.029399507	4.82E-21	4.01E-18	8.68E-19	1.96E-18	0.057725049	3.62E-20	0	6.45E-19	0	0.023312516	1.06E-17	0.014809216	0.04550941	0	0.006487366	0.02356097	0.003935854	0.08866251	0	0.054533061	6.14E-19	1.50E-18	0.035191632	0.141282686	0.011742206	0.005653477	0.011159224	0.025583255	1.27E-18	0.001056272	3.13E-20	0.001296232	0	0.019926182	0.0084001	0.006973088	0	0.168397755	0.016978299	0.008424655	0	0.000509618	4.34E-19	5.82E-18	0.040433387	5.00E-18	0.015757926	0	0.001699266	0	0	0.00682887	4.30E-19	8.92E-19	0.102586248	0.015328488	0.029779087	0.022784985	3.41E-20	0.027838323	0.061068205	0.088906528
GSM3612346	0.021372481	9.06E-20	0	0.013830802	0.087882623	0.003251755	2.01E-18	9.14E-20	3.64E-18	0.033235766	2.78E-21	4.00E-19	5.29E-19	8.98E-18	0.02956666	0.004383937	0.044658212	0.066250485	0	0.002910521	0.005439606	1.34E-18	0.048714581	0	0.068066919	0	0.001471077	0.071526519	0.065291176	0.005647002	0.000483218	0.008231947	0.014693717	0.002441048	0.000160157	1.26E-20	0.003014341	0	0	0.000126562	0	1.01E-17	0.13309288	0.002248211	0.00647105	8.16E-18	0.000352098	1.36E-18	1.32E-17	0.027230352	5.31E-18	0.01579892	0.018535303	0.008115173	0	0	6.70E-18	0	1.65E-19	0.094028063	0.007974442	0.003389382	0.006024694	0.021120139	0.016755619	0.036753262	0.053508881
GSM3612347	0.016463164	0.009471887	0	1.62E-20	0.052785826	3.13E-05	0	9.75E-20	1.02E-18	0.043485132	0.008789209	7.54E-20	0	2.82E-18	0.004917105	0.000530049	0.034470869	0.073006295	1.30E-18	0.001598763	0.007181953	0	0.048737866	0	0.110278835	0	0.000322428	0.087678116	0.060382377	0.006267604	0.000556711	0.002706707	0.007209231	0.004527641	0	6.23E-21	0.003664582	3.36E-18	0	0	2.16E-19	4.81E-18	0.201998027	0.004781135	0.005439093	1.02E-17	0.000341374	3.76E-19	6.26E-18	0.008921281	0	6.88E-19	0.026521682	0.007080051	1.22E-18	0	0	0	4.52E-19	0.122918598	0.001390587	0.005568112	0	0.010803912	0.002870314	0.063466337	0.066336651
GSM3612348	5.36E-18	0.166448749	0	3.82E-19	9.91E-18	1.43E-18	0	0	0.008417945	0.039393191	0.002954941	2.17E-18	0	1.09E-19	0.037938939	0.014943759	0	0.003479273	0.00484536	0.005291738	0.120377481	9.41E-19	0.037530701	5.45E-05	0.221417861	0.007927183	0	0.253998868	0.154732421	0.000769213	0.071684979	0	0	0.01523374	0	0.00746425	0.00333967	0	0.000393262	0.025498934	8.60E-18	0	0.03499873	0.072047867	0.001463203	1.10E-17	0.000844864	0	1.89E-18	0.035938191	0	0	0.044848597	6.54E-19	1.15E-18	4.40E-19	0	0	0.002006881	0.019842452	1.44E-18	0	0.003346691	0	0.003527826	0.254122046	0.257649872
GSM3612349	5.49E-18	0.045584615	0	0	0.030944157	3.54E-18	1.45E-18	6.38E-19	0	0.011574047	5.04E-05	0	5.59E-19	9.94E-19	0.078703907	0.027121891	0.00411714	0.013695764	0.006047538	0.01005398	0.075285971	0.001319576	0.060442017	0	0.265900636	0.008712041	0.002049373	0.265530536	0.220336182	0.013269666	0.035834455	1.88E-18	0.002751673	4.87E-20	0.000456331	0.006363339	0.003321853	0	0.010923075	0.023703359	1.88E-18	0	0.038615524	0.036341051	0.001888935	0	0.000515057	0.000356637	0	0.009014608	1.97E-19	1.73E-18	0.014514069	3.10E-20	5.44E-18	3.53E-19	6.14E-18	0	0.00306106	0.106460354	0	4.11E-19	0	0	0.00812435	0.193385611	0.201509961
GSM3612350	4.39E-19	0.037009248	0	0	0.00107599	1.76E-19	0.002662398	1.33E-19	0	0.000425118	0.001896217	0.003256853	0.002992785	0	0.006520728	0	0.048869539	0.040236525	0	3.27E-05	0.025902662	0.001816741	0.05270663	0	0.102353299	2.86E-19	0	0.100563135	0.027748671	0.003572933	0.011246985	4.07E-20	4.50E-21	0.009253284	0.000568696	0.001342831	0.004843421	0	0.001218373	3.62E-19	2.08E-18	0	0.068625892	0.010059938	0.008865529	1.55E-18	0.002650671	1.85E-20	0	0.010153324	0	9.23E-05	4.68E-18	0.005516704	0	0.0197824	0	1.66E-19	0.000580926	0.090166048	0.002468481	0.002962178	0.022431398	5.00E-06	0.003783304	0.082632605	0.086415909
GSM3612351	0.010166825	0.008894168	0	1.20E-20	0.030581039	0	1.11E-18	1.40E-18	1.05E-18	0.008972028	0.003897102	1.06E-18	2.61E-20	4.41E-20	0.012223135	0.004589523	0.041982824	0.053222329	0	0.000249394	0.023660389	0	0.06468293	8.56E-19	0.126265461	0	0	0.101919307	0.037570036	0.00704979	0.008097272	0.001275352	0.004289928	0.002248923	0.000474372	2.17E-21	0.001576403	1.43E-17	0	2.88E-20	0	2.60E-18	0.108727325	0.01494055	0.000703746	6.47E-18	0.001372723	0	0	0.008024474	8.02E-18	0	8.61E-18	0.006280398	1.15E-18	0	4.59E-18	1.07E-19	4.06E-20	0.079820018	1.00E-04	0.012004707	0.005118776	0.003808361	0.001332745	0.079410009	0.080742754
GSM3612352	0.093976258	0.000258685	1.16E-18	0.276993554	0.054114395	0.030968067	0.024990336	0.016903675	0.00140077	0.037364301	0.008044544	0.04578173	0.044510403	0.000513849	0.019700839	2.93E-19	0.076906436	0.058027464	1.04E-19	0.005787256	0.010854468	3.97E-19	0.119067203	0.000532975	0.005505015	0.007274892	0	0.03511616	0.019772663	0.049457798	0.000575401	0.013917457	0.030140806	4.67E-19	0	0.004429233	0.003910397	0.093081454	0.011827191	0.006567219	1.99E-18	0	0.026409141	0.01142593	0.007396415	0.03048951	0	0	1.85E-18	0	0.005591835	0.023819757	0.014633805	0.026577411	0	0	0.029283947	0.015782007	0	0.009549175	0.032465241	0	0.066563082	0.013757441	0.239589115	0.008309084	0.247898199
GSM3612353	0.079229253	0	0	0.294111807	0.101503705	0.024212902	0.003099434	0	1.75E-19	0.038727248	0.000741138	0.033877157	0.050503618	0	0.030933515	0	0.068523061	0.038715029	2.99E-18	0.009820368	0.020722905	2.20E-19	0.134012212	0	0.026417611	0.010623447	0.000905423	0.082412059	0.099145236	0.049910061	0.004049987	0.032583355	0.047625109	0.000263048	1.24E-18	2.44E-20	0.004154956	0.112737558	0.020400328	0.008667522	3.86E-19	6.05E-19	0.042811622	0.018591811	0.003530751	0.028815377	0	0	3.54E-18	0	4.69E-19	0.042089173	0.004645389	0.027711183	8.37E-19	0	0.035695568	0.015732161	1.75E-19	3.12E-18	0.027916552	0.006950842	0.045842254	0.031850618	0.246928458	0.023570258	0.270498716
GSM3612354	0.006683934	9.71E-20	0	0.030210512	0.003700451	0.006820046	0.017126324	0.006879053	0	0.022055786	0.005305172	0.008519579	0.002636139	0.001114868	0.00522146	0.006974525	0.06610945	0.027824276	0.000934733	0.000822637	0.016535069	5.29E-20	0.018608494	1.29E-20	0.133985174	0.008481833	1.36E-21	0.080225099	0.05915516	0.000320193	0.002218757	0.032073739	0.023689117	0.00814707	0.004216529	0.00343106	0.001427937	0	0	0.000197796	0.006958858	0	0.125405974	0.001395914	0.018463482	0	0.00040799	0	0	0.012825834	9.93E-19	0.004023934	0.076911095	0.005393917	1.08E-19	3.42E-18	7.55E-20	0	0.000322755	0.147336572	0.001678404	1.38E-18	0.03009833	0.018325506	0.05978727	0.075260121	0.135047392
GSM3612355	0.034870531	0.057920112	3.26E-18	1.76E-19	6.35E-19	1.11E-19	1.68E-18	0	1.61E-18	0.036294844	0.004697879	0	1.41E-19	0.000682606	0.010138772	0.00728658	0.04823858	0.023519906	0	0.0044432	0.069416284	0.002175897	0.029584063	0	0.228276613	0.001305935	3.50E-21	0.064460483	0.068025451	0	0.027726119	0.03770823	0.027623272	0.016270594	0.001901884	0.000279423	0.001336522	1.93E-18	0.000835855	0.014341792	0.008705889	2.13E-18	0.154550377	0.032731033	0.007089077	4.28E-19	0.000812118	3.94E-21	3.39E-18	0.005025156	0	0.003517463	0.101740004	0	4.05E-19	0.018831135	0	0	0.002084247	0.104793033	0.003263698	8.79E-19	0.015827947	9.13E-05	0.0366234	0.177806504	0.214429905
GSM3612356	0	0.078476941	0	1.59E-18	0.017648882	0.00730316	1.51E-19	0.01419155	0	0.043331887	0.0021346	0.003477473	0.007416027	7.76E-21	0.014042497	0.009902368	0.017374579	0.049933196	2.24E-20	0.002731475	0.02038271	0	0.061722977	1.61E-21	0.123938613	1.05E-19	0.00056756	0.091118956	0.054531799	0.005191865	0.00500661	0.009002221	0.017964358	0.008443107	0.001337898	1.94E-20	0.001072429	0	0.000536822	0.003393549	0	1.79E-18	0.031104093	0.012209009	0.006269338	0	5.73E-05	0.000312854	8.91E-18	0.020310445	2.10E-18	0.001662963	0.032273388	2.99E-21	0	0.021901116	9.69E-19	1.87E-19	0	0.112356357	0.00648797	0.0103523	0.029340008	0.017287346	0.020702314	0.111399132	0.132101446
GSM3612357	4.57E-18	0.192018276	8.69E-19	0	0.002445032	0.001397288	4.74E-19	2.53E-19	0	0.002342091	0.001951668	0.000536144	0.012433989	0	0.130583583	0.053220578	0.000552498	0.017393558	4.70E-21	0.020771611	0.10814695	8.47E-19	0.029398205	2.65E-05	0.195766774	0.015984075	0.000390785	0.3225825	0.306136444	0.004038802	0.049968188	0.002836855	0.009201037	0.030527782	0	0.003703326	8.81E-20	1.18E-17	0.012676255	0.02138513	0.029309209	0	0	0.058046011	0.01215096	1.40E-19	0.000553557	0.020229239	0	3.75E-20	1.93E-17	0	0	8.25E-19	3.39E-18	0.138766607	0	7.75E-20	0.000994747	0.143426686	0	4.40E-18	0.020581174	0.008357925	0.049122038	0.247966	0.297088038
